champion,damage_objectives,damage_building,damage_turrets,kda,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
Brand,544.0,544.0,544.0,0.545454545,0.0,54.0,32639,6626,Other,Few
Aphelios,10706.0,15388.0,10706.0,5.0,5.0,7.0,172941,14390,Other,Many
AurelionSol,0.0,3419.0,0.0,1.5,0.0,18.0,111136,9501,Other,Many
Zoe,2294.0,6978.0,2294.0,3.2,0.0,39.0,181801,13466,Other,Many
Lucian,10857.0,18605.0,10857.0,2.666666667,5.0,41.0,267697,17270,Other,Many
Kassadin,2191.0,2191.0,2191.0,1.571428571,1.0,16.0,98154,9837,Other,Many
Yuumi,108.0,321.0,108.0,2.285714286,0.0,66.0,16587,6940,Other,Few
Sylas,0.0,0.0,0.0,5.0,0.0,10.0,48280,6115,Other,Few
Rakan,408.0,1733.0,408.0,2.333333333,0.0,95.0,15054,9272,Other,Few
Viego,1968.0,30368.0,1968.0,1.857142857,2.0,19.0,127737,11532,TopLane_Jungle,Few
Jayce,3583.0,8876.0,3583.0,0.909090909,1.0,22.0,135198,12060,TopLane_Jungle,Many
Qiyana,622.0,20819.0,622.0,3.0,2.0,32.0,126801,10250,TopLane_Jungle,Few
XinZhao,2497.0,17639.0,2497.0,2.0,0.0,48.0,165436,13424,TopLane_Jungle,Few
