champion,damage_objectives,damage_building,damage_turrets,kda,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
TwistedFate,5219.0,6772.0,5219.0,1.5,2.0,43.0,134887,13971,Other,Many
Akshan,364.0,1757.0,364.0,2.6666666666666665,1.0,23.0,204827,15198,Other,Many
Jinx,4061.0,5634.0,4061.0,1.4285714285714286,2.0,25.0,204175,14727,Other,Many
Poppy,0.0,14378.0,0.0,0.8571428571428571,0.0,22.0,103360,7114,TopLane_Jungle,Few
Urgot,8529.0,8737.0,8529.0,0.333333333,3.0,11.0,85770,9071,TopLane_Jungle,Many
Jax,1249.0,12999.0,1249.0,1.6666666666666667,0.0,21.0,234208,15002,TopLane_Jungle,Many
Veigar,4411.0,6521.0,4411.0,2.333333333,3.0,28.0,113066,11281,Other,Many
Viktor,5186.0,5274.0,5186.0,11.0,2.0,17.0,192421,17422,Other,Many
Lulu,2385.0,3129.0,2385.0,3.0,1.0,58.0,17925,10096,Other,Few
KogMaw,537.0,1572.0,537.0,1.333333333,0.0,9.0,140034,9274,Other,Many
Trundle,7033.0,7104.0,7033.0,0.0909090909090909,1.0,12.0,99663,8630,TopLane_Jungle,Many
Xayah,1656.0,3996.0,1656.0,0.8333333333333334,0.0,12.0,84989,8063,Other,Many
Samira,2817.0,5030.0,2817.0,1.3333333333333333,1.0,9.0,115035,9930,Other,Many
Kaisa,4412.0,12256.0,4412.0,2.25,0.0,15.0,127370,12335,Other,Many
Caitlyn,5203.0,11164.0,5203.0,4.333333333333333,1.0,18.0,111367,9727,Other,Many
Samira,0.0,1443.0,0.0,0.8,0.0,20.0,61892,7512,Other,Many
Vex,1955.0,7701.0,1955.0,2.666666667,3.0,28.0,118064,11198,Other,Many
Lux,1345.0,1934.0,1345.0,0.9,0.0,55.0,66247,8096,Other,Few
Anivia,3311.0,4982.0,3311.0,1.5555555559999998,2.0,21.0,139844,12869,Other,Many
MissFortune,1983.0,6252.0,1983.0,1.8571428571428568,0.0,19.0,122481,10557,Other,Many
Ekko,11644.0,30646.0,11644.0,11.0,2.0,20.0,214068,18444,TopLane_Jungle,Few
Jinx,8439.0,8903.0,8439.0,3.0,2.0,18.0,105158,10433,Other,Many
Fiora,5752.0,7726.0,5752.0,1.0,1.0,11.0,87896,8417,TopLane_Jungle,Many
LeeSin,0.0,1379.0,0.0,0.5833333333333334,0.0,18.0,77359,7952,TopLane_Jungle,Few
Qiyana,1791.0,52210.0,1791.0,4.125,3.0,57.0,345622,20018,TopLane_Jungle,Few
Lux,1055.0,7219.0,1055.0,3.375,0.0,57.0,46765,10465,Other,Few
Irelia,5626.0,5626.0,5626.0,2.5,2.0,10.0,83937,8354,TopLane_Jungle,Many
Katarina,0.0,391.0,0.0,1.625,0.0,13.0,72046,8980,Other,Many
Akshan,6928.0,19898.0,6928.0,11.0,2.0,28.0,194137,16345,TopLane_Jungle,Many
Lux,950.0,3856.0,950.0,3.1666666666666665,0.0,37.0,144357,13162,Other,Many
Yuumi,646.0,1406.0,646.0,4.428571428571429,0.0,84.0,28480,10738,Other,Few
Hecarim,845.0,12150.0,845.0,5.0,0.0,25.0,139013,11673,TopLane_Jungle,Few
Zoe,3172.0,13206.0,3172.0,3.6666666666666665,0.0,26.0,176937,14341,Other,Many
Zilean,55.0,654.0,55.0,2.7142857142857144,0.0,117.0,51400,11236,Other,Few
MissFortune,823.0,1443.0,823.0,1.818181818181818,0.0,30.0,121152,10674,Other,Many
Malzahar,749.0,1093.0,749.0,0.8,0.0,21.0,102064,8399,Other,Many
Kalista,2611.0,10426.0,2611.0,3.6,1.0,28.0,134982,12815,Other,Many
Irelia,5670.0,16334.0,5670.0,4.0,3.0,26.0,216816,17021,TopLane_Jungle,Many
Vex,0.0,2044.0,0.0,1.0,0.0,27.0,15144,4528,Other,Few
Galio,2357.0,4861.0,2357.0,4.0,2.0,13.0,159171,11877,Other,Many
Lulu,1515.0,1599.0,1515.0,6.333333333,1.0,46.0,14063,8180,Other,Few
Lulu,838.0,1060.0,838.0,2.6666666666666665,1.0,96.0,14925,7324,Other,Few
Kayn,0.0,18313.0,0.0,1.0,0.0,15.0,187980,9104,TopLane_Jungle,Few
Ekko,432.0,18041.0,432.0,3.7142857142857135,1.0,30.0,233606,15850,TopLane_Jungle,Few
MonkeyKing,1118.0,3821.0,1118.0,1.5,1.0,12.0,46421,6904,TopLane_Jungle,Few
Viego,1018.0,27276.0,1018.0,13.0,1.0,17.0,113491,8725,TopLane_Jungle,Few
Hecarim,1100.0,8918.0,1100.0,1.5,2.0,13.0,180084,11642,TopLane_Jungle,Few
Leblanc,877.0,2883.0,877.0,4.0,0.0,36.0,133481,12247,Other,Many
Pyke,0.0,476.0,0.0,3.8,0.0,118.0,23420,11743,Other,Few
Urgot,2154.0,22076.0,2154.0,3.333333333,0.0,48.0,186862,16545,TopLane_Jungle,Many
Malphite,1790.0,4443.0,1790.0,1.8571428571428568,0.0,12.0,75775,9412,TopLane_Jungle,Many
Ivern,0.0,8150.0,0.0,1.3333333333333333,0.0,19.0,267890,6173,TopLane_Jungle,Few
Akali,1702.0,1702.0,1702.0,4.25,1.0,12.0,80110,11264,Other,Many
Ekko,7641.0,39688.0,7641.0,21.0,2.0,33.0,245899,14929,TopLane_Jungle,Few
Azir,3156.0,9297.0,3156.0,4.666666666666667,0.0,67.0,151636,13798,Other,Many
Hecarim,1960.0,25728.0,1960.0,5.2,1.0,32.0,235149,18420,TopLane_Jungle,Few
Jayce,7222.0,11421.0,7222.0,3.4,2.0,21.0,154912,14447,TopLane_Jungle,Many
Yasuo,3790.0,14938.0,3790.0,3.0,2.0,18.0,160225,13004,Other,Many
Kaisa,1585.0,8928.0,1585.0,2.0,0.0,30.0,117358,10956,Other,Many
Varus,1960.0,11112.0,1960.0,2.833333333,0.0,30.0,144008,12548,Other,Many
LeeSin,0.0,1546.0,0.0,0.75,0.0,19.0,69233,6375,TopLane_Jungle,Few
Irelia,973.0,4542.0,973.0,0.7142857140000001,0.0,10.0,89397,7605,Other,Many
JarvanIV,2364.0,18800.0,2364.0,3.4,2.0,26.0,120796,9282,TopLane_Jungle,Few
Kennen,4913.0,6088.0,4913.0,1.0,2.0,19.0,199131,15063,TopLane_Jungle,Many
Ezreal,586.0,3331.0,586.0,0.7142857140000001,0.0,24.0,106912,9103,Other,Many
Corki,3792.0,5679.0,3792.0,0.875,1.0,24.0,110542,10229,Other,Many
Camille,8271.0,8271.0,8271.0,1.2,2.0,22.0,107093,11563,TopLane_Jungle,Many
Anivia,1058.0,5003.0,1058.0,2.0,0.0,34.0,135431,10756,Other,Many
MissFortune,2784.0,2784.0,2784.0,2.0,0.0,12.0,94780,8798,Other,Many
Gwen,5369.0,20470.0,5369.0,2.8571428571428568,2.0,50.0,290931,19334,TopLane_Jungle,Many
Graves,1024.0,32416.0,1024.0,9.0,0.0,16.0,164939,11238,TopLane_Jungle,Few
Kaisa,0.0,400.0,0.0,1.1428571428571428,0.0,7.0,57437,7938,Other,Many
Akshan,5545.0,11128.0,5545.0,3.0,1.0,22.0,124988,14360,TopLane_Jungle,Many
Jhin,2212.0,12498.0,2212.0,2.2222222222222223,0.0,28.0,258164,16639,Other,Many
Lucian,5824.0,14311.0,5824.0,2.6666666666666665,2.0,21.0,179901,14756,Other,Many
MissFortune,0.0,0.0,0.0,1.0,0.0,12.0,46739,6473,Other,Many
Hecarim,1231.0,55897.0,1231.0,6.166666666666668,1.0,14.0,301753,20576,TopLane_Jungle,Few
Viktor,690.0,690.0,690.0,0.0,0.0,3.0,32126,4273,TopLane_Jungle,Few
Camille,3764.0,7563.0,3764.0,12.0,2.0,24.0,119128,11333,TopLane_Jungle,Many
Rumble,0.0,4054.0,0.0,1.5,0.0,14.0,69443,6735,TopLane_Jungle,Few
Ryze,1160.0,1789.0,1160.0,23.0,1.0,29.0,115470,12963,Other,Many
Akshan,8593.0,17730.0,8593.0,2.1818181818181817,3.0,27.0,206572,20072,Other,Many
Sett,4306.0,7255.0,4306.0,0.7857142857142857,2.0,8.0,155385,12362,TopLane_Jungle,Many
Ekko,0.0,13748.0,0.0,1.1666666666666667,1.0,9.0,153358,9069,TopLane_Jungle,Few
Sona,3459.0,7517.0,3459.0,5.0,1.0,64.0,27438,8477,Other,Few
Lillia,0.0,8109.0,0.0,2.25,0.0,29.0,199092,12846,TopLane_Jungle,Few
Rumble,2344.0,17335.0,2344.0,2.25,0.0,47.0,202708,14665,TopLane_Jungle,Many
Karma,1662.0,3882.0,1662.0,4.333333333,3.0,96.0,30624,9611,Other,Few
Karma,0.0,574.0,0.0,1.7,0.0,83.0,21312,6829,Other,Few
